   ,SPECIES_ID,SPECIES_NAME,ALPHA_CODE,Download,TAXONOMIC_ORDER,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD
935,7510,Blue-gray Gnatcatcher,BGGN,7,791,Polioptila caerulea,0A,"0A, 0",,,
936,7520,Black-tailed Gnatcatcher,BTGN,7,794,Polioptila melanura,0A,"0A, 0",,,
937,7530,California Gnatcatcher,CAGN,7,792,Polioptila californica,0A,"0A, 0",Y,,
938,7531,Black-capped Gnatcatcher,BCGN,7,795,Polioptila nigriceps,0A,"0A, 0",,,
939,7540,Townsend's Solitaire,TOSO,7,829,Myadestes townsendi,1B,"1B, 1, 1A",,,
940,7541,Omao,OMAO,7,833,Myadestes obscurus,"1A, 1D","1A, 1D, 1B, 2",,,
941,7542,Puaiohi,PUAI,7,834,Myadestes palmeri,1A,1A,Y,,
942,7550,Wood Thrush,WOTH,7,842,Hylocichla mustelina,1A,"1A, 1B, 1P","New Brunswick, Nova Scotia, Ontario, Québec",,
943,7560,Veery,VEER,7,836,Catharus fuscescens,1B,"1B, 1, 1A, 1P",,,
944,7570,Gray-cheeked Thrush,GCTH,7,837,Catharus minimus,1B,"1B, 1, 1A, 1P",,,
945,7571,Bicknell's Thrush,BITH,7,838,Catharus bicknelli,1B,"1B, 1P","New Brunswick, Nova Scotia, Québec",,
946,7579,Unidentified Gray-cheeked/Bicknell's Thrush,GCBT,7,839,,1B,1B,,,
947,7580,Swainson's Thrush,SWTH,7,840,Catharus ustulatus,1B,"1B, 1, 1A, 1P",,,
948,7590,Hermit Thrush,HETH,7,841,Catharus guttatus,"1B, 1","1B, 1, 1A, 1P",,,
949,7610,American Robin,AMRO,7,850,Turdus migratorius,2,"2, 1D",,,
950,7612,Fieldfare,FIEL,7,845,Turdus pilaris,2,2,,,
951,7621,Clay-colored Thrush,CCTH,7,847,Turdus grayi,2,2,,,
952,7622,Rufous-backed Robin,RBRO,7,849,Turdus rufopalliatus,2,2,,,
953,7623,Red-legged Thrush,RLTH,7,852,Turdus plumbeus,2,"2, 2A",,,
954,7630,Varied Thrush,VATH,7,853,Ixoreus naevius,2,2,,,
955,7631,Aztec Thrush,AZTH,7,854,Ridgwayia pinicola,2,2,,,
956,7640,Bluethroat,BLUE,7,821,Cyanecula svecica,"1, 1C","1, 1C",,,
957,7641,Siberian Rubythroat,SIRU,7,820,Calliope calliope,"1B, 1","1B, 1",,,
958,7642,Red-flanked Bluetail,RFBL,7,822,Tarsiger cyanurus,0,0,,,
959,7650,Northern Wheatear,NOWH,7,824,Oenanthe oenanthe,1B,1B,,,
960,7660,Eastern Bluebird,EABL,7,825,Sialia sialis,"1B, 1, 1A","1B, 1, 1A",,,
961,7670,Western Bluebird,WEBL,7,826,Sialia mexicana,1B,"1B, 1, 1A",,,
962,7676,Hybrid Western/Mountain Bluebird,HYBL,7,828,,"1B, 1A","1B, 1A",,,
963,7680,Mountain Bluebird,MOBL,7,827,Sialia currucoides,"1B, 1A","1B, 1A, 1",,,
964,7690,White-rumped Shama,WRSH,7,819,Copsychus malabaricus,"1B, 1A, 1D","1B, 1A, 1D",,,
1025,8590,Nightingale Reed Warbler,NIRW,7,811,Acrocephalus luscinius,"1A, 1D","1A, 1D",Y,,
1030,8640,Samoan Starling,SAST,7,872,Aplonis atrifusca,"M: 3B, 3A, 4 / F: 3, 3B, 3A","M: 3B, 3A, 4, 3 / F: 3, 3B, 3A",,,
1031,8650,Polynesian Starling,POST,7,871,Aplonis tabuensis,"M: 2, 3 / F: 1A, 1D, 2","M: 2, 3, 1D / F: 1A, 1D, 2",,,
