GLOBAL_UNIQUE_IDENTIFIER,COUNT,SEX,AGE
URN:CornellLabOfOrnithology:EBIRD:OBS150823033,7,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS150823033,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS707166136,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS504205448,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS97803396,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS262704727,1,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS429672416,18,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS429672416,4, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS1021224335,49,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS1021224335,21, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS147043862,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS147043862,2, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS147043862,2, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS52552179,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS378572774,50,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS378572774,20, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS328587045,2,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS101735158,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS279674234,6,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS279674234,5, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS435056275,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS435056275,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS355322229,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS646309596,5,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS646309596,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS302618356,8,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS302618356,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS114790583,15,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS114790583,15, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS59312769,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS59312769,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS504681834,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS504681834,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS101657675,1,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS832237626,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS567781335,10,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS567781335,20, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS337460513,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS476741943,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS476741943,1, Male,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS830257252,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS102805868,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS102805868,1, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS306606070,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS306606070,1, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS302169522,5,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS271550809,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS116033006,1,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS53215450,10,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS100599604,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS301191701,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS301191701,12, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS551479405,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS551479405,7, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS415104904,5,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS415104904,3, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS788726396,6,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS788726396,2, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS788726396,2, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS415141842,5,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS415141842,8, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS666765252,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS666765252,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS666765252,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS154078191,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS154059394,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS154059394,6, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS162424034,1,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS530664474,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS530664474,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS156652075,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS175948774,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS175948774,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS34485697,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS667011698,16,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS667011698,8, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS887499719,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS292783851,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS105572347,10,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS105572347,4, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS698951051,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS698951051,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS225276074,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS59312690,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS59312690,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS790410780,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS790410780,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS790410780,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS170136311,12,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS170136311,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS619921411,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS619921411,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS829834282,7,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS829834282,6, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS105997091,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS512447694,2,Unknown Sex and Age (2),
URN:CornellLabOfOrnithology:EBIRD:OBS702650224,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS771915756,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS771915756,5, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS771915756,6, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS698949987,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS698949987,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS667046462,16,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS667046462,8, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS552804332,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS552804332,7, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS282354965,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS282354965,11, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS399861333,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS399861333,5, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS771938026,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS771938026,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS93672648,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS52552170,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS101914391,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS101914391,9, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS114576890,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS114970165,5,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS114970165,5, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS97802129,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS97802129,8, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS97802129,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS305107546,13,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS462927554,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS462927554,2, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS101565854,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS101565854,4, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS96509164,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS177272342,74,Unknown Sex and Age (74),
URN:CornellLabOfOrnithology:EBIRD:OBS177272342,5, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS298724869,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS852399461,2,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS852399461,2, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS852399461,1, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS40112725,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS40112725,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS729446075,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS111959445,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS154245890,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS154245890,3, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS154245890,1, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS105570932,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS75655465,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS75655465,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS75655465,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS201215723,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS771905787,7,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS771905787,6, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS771905787,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS105506637,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS415106152,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS415106152,3, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS113126003,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS102806950,1,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS130982095,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS130982095,3, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS130368625,3,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS102805605,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS46579692,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS830813902,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS830813902,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS776050448,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS776050448,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS776456387,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS776456387,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS65239960,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS698955656,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS301141163,11,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS301141163,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS788793697,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS788793697,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS966075536,1,Unknown Sex and Age (1),
URN:CornellLabOfOrnithology:EBIRD:OBS852377640,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS852377640,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS107381333,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS435051731,1,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS435051731,2, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS435051731,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS353532608,2,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS353532608,2, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS353532608,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS353532608,2, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS460433505,11,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS460433505,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS54885572,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS54885572,4, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS878620351,8,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS878620351,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS190179658,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS190179658,1, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS190179658,2, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS190179658,2, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS567595976,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS774628081,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS774628081,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS774628081,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS774628081,1, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS334472378,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS89933764,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS89933764,1, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS298254494,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS298254494,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS298254494,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS468938916,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS692879907,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS692879907,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS692879907,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS645533866,2,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS645533866,2, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS891085156,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS891085156,8, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS811386133,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS811386133,6, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS132327351,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS729444343,2,Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS85967355,8,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS85967355,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS100646186,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS100646186,5, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS130332165,1,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS462935845,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS462935845,2, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS415189725,1,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS415189725,10, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS39922189,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS39922189,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS340933963,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS146434828,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS146434828,6, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS203643282,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS203643282,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS334690594,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS76364755,3,Unknown Sex and Age (3),
URN:CornellLabOfOrnithology:EBIRD:OBS277186437,2,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS55873465,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS55873465,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS698954547,1,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS698954547,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS698954547,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS771930282,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS771930282,1, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS771930282,2, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS529723654,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS529723654,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS101862067,5,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS101862067,1, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS226281081,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS226281081,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS396107669,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS396107669,1, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS36870143,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS177272317,14,Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS177272317,23, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS177272317,14, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS855072194,1,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS855072194,2, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS158980798,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS158980798,1, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS811313058,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS811313058,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS376846262,1,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS713042597,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS115594157,0,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS115594157,12, Unknown Sex,Immature 
URN:CornellLabOfOrnithology:EBIRD:OBS788793736,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS788793736,1, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS371211688,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS136757059,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS680874248,2,Male,Unknown Age 
URN:CornellLabOfOrnithology:EBIRD:OBS590292518,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS386484359,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS709918952,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS160420384,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS160420384,1, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS964854601,1,Unknown Sex and Age (1),
URN:CornellLabOfOrnithology:EBIRD:OBS442622449,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS442622449,3, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS576618111,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS576618111,2, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS879784503,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS879784503,7, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS76364569,6,Unknown Sex and Age (6),
URN:CornellLabOfOrnithology:EBIRD:OBS468941700,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS102928171,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS877181375,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS792151755,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS36870528,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS462927670,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS462927670,1, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS115939751,6,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS774559437,2,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS774559437,1, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS774559437,1, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS774559437,1, Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS156289274,4,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS156289274,1, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS646273631,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS646273631,11, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS668717277,7,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS269293932,19,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS386223274,1,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS76031257,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS830364809,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS495783890,3,Unknown Sex and Age (3),
URN:CornellLabOfOrnithology:EBIRD:OBS74438257,3,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS74438257,9, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS432735160,1,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS69385383,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS69385383,14, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS56495063,2,Male,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS56495063,2, Female,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS523366594,2,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS523366594,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS523367655,3,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS523367655,2, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS523342896,4,Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS523342896,5, Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS523344893,6,Unknown Sex,Adult 
URN:CornellLabOfOrnithology:EBIRD:OBS523344893,4, Unknown Sex,Juvenile 
URN:CornellLabOfOrnithology:EBIRD:OBS523344893,3, Unknown Sex,Immature 
